neuro.date,neuro.count,dayofweek
2018-02-11,1,Sun
2018-02-12,0,Mon
2018-02-13,0,Tue
2018-02-14,2,Wed
2018-02-15,1,Thu
2018-02-16,0,Fri
2018-02-17,1,Sat
2018-02-18,2,Sun
2018-02-19,0,Mon
2018-02-20,0,Tue
2018-02-21,0,Wed
2018-02-22,0,Thu
2018-02-23,1,Fri
2018-02-24,0,Sat
2018-02-25,1,Sun
2018-02-26,0,Mon
2018-02-27,1,Tue
2018-02-28,0,Wed
2018-03-01,1,Thu
2018-03-02,0,Fri
2018-03-03,1,Sat
2018-03-04,1,Sun
2018-03-05,0,Mon
2018-03-06,1,Tue
2018-03-07,1,Wed
2018-03-08,0,Thu
2018-03-09,0,Fri
2018-03-22,0,Thu
2018-03-23,0,Fri
2018-03-26,0,Mon
2018-03-27,0,Tue
2018-03-28,0,Wed
2018-03-29,0,Thu
2018-04-02,0,Mon
2018-04-05,0,Thu
2018-04-09,0,Mon
2018-04-10,0,Tue
2018-04-11,0,Wed
2018-04-12,0,Thu
2018-04-13,0,Fri
2018-04-16,0,Mon
2018-04-17,0,Tue
2018-04-20,0,Fri
2018-04-23,0,Mon
2018-04-24,0,Tue
2018-04-26,0,Thu
2018-04-27,0,Fri
2018-04-30,0,Mon
2018-05-01,0,Tue
2018-05-03,0,Thu
2018-05-10,0,Thu
2018-05-11,0,Fri
2018-05-16,0,Wed
2018-05-24,0,Thu
2018-05-30,0,Wed
2018-05-31,0,Thu
2018-06-07,0,Thu
